iShares Edge MSCI Min Vol USA ETF
Inception Date,"Oct 18, 2011"
Fund Holdings as of,"04-Jan-2017"
Total Net Assets,"$12,341,083,001"
Shares Outstanding,"271,000,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"ES","EVERSOURCE ENERGY","Equity","0.1792","55.27","399,459","$22,078,099","22,078,098.93","Utilities","BVVN4Q8","US30040W1080","New York Stock Exchange Inc."
"AEP","AMERICAN ELECTRIC POWER INC","Equity","0.1782","62.85","349,226","$21,948,854","21,948,854.10","Utilities","2026242","US0255371017","New York Stock Exchange Inc."
"HOLX","HOLOGIC INC.","Equity","0.1769","40.03","544,449","$21,794,293","21,794,293.47","Health Care","2433530","US4364401012","NASDAQ"
"ZAYO","ZAYO GROUP HOLDINGS INC","Equity","0.1648","32.45","625,479","$20,296,794","20,296,793.55","Telecommunications","BRJ3H07","US98919V1052","New York Stock Exchange Inc."
"DD","E I DU PONT DE NEMOURS","Equity","0.1620","74.17","269,085","$19,958,034","19,958,034.45","Materials","2018175","US2635341090","New York Stock Exchange Inc."
"SBAC","SBA COMMUNICATIONS CORP CLASS A","Equity","0.1595","105.68","185,870","$19,642,742","19,642,741.60","Telecommunications","2429294","US78388J1060","NASDAQ"
"PDCO","PATTERSON COMPANIES INC","Equity","0.1581","42.95","453,492","$19,477,481","19,477,481.40","Health Care","2672689","US7033951036","NASDAQ"
"OMC","OMNICOM GROUP INC","Equity","0.1512","85.70","217,290","$18,621,753","18,621,753.00","Consumer Discretionary","2279303","US6819191064","New York Stock Exchange Inc."
"RMD","RESMED INC.","Equity","0.1509","62.35","298,022","$18,581,672","18,581,671.70","Health Care","2732903","US7611521078","New York Stock Exchange Inc."
"ESRX","EXPRESS SCRIPTS HOLDING CO","Equity","0.1453","71.14","251,547","$17,895,054","17,895,053.58","Health Care","B7QQYV9","US30219G1085","NASDAQ"
"GPC","GENUINE PARTS","Equity","0.1443","97.12","183,062","$17,778,981","17,778,981.44","Consumer Discretionary","2367480","US3724601055","New York Stock Exchange Inc."
"FNF","FIDELITY NATIONAL FINANCIAL INC","Equity","0.1426","34.32","511,739","$17,562,882","17,562,882.48","Financials","BNBRDD4","US31620R3030","New York Stock Exchange Inc."
